campaign_id,campaign_name,campaign_status,analytics_bounce_count,analytics_blocked_count,leads_pulled_count
2925048,KSA Ramadan Enriched - Batch 2 - copy,STOPPED,5,2,5
2631312,Job change Nov 2025 - KSA,COMPLETED,4,3,4
2631294,Job change Nov 2025 - SEA,COMPLETED,4,3,5
2626124,5k+ below $500 data Batch 8,COMPLETED,4,3,4
2573668,5k+ below $500 data Batch 6,COMPLETED,3,4,4
2573636,5k+ below $500 data Batch 1,COMPLETED,4,3,3
2573559,500 below and below $500 data - Batch 2,COMPLETED,1,6,6
2539737,Sriram - HR,COMPLETED,3,4,4
2460043,Ignyte Website Companies Data - India - September,COMPLETED,5,2,6
2402679,SEA CAM List HR,COMPLETED,3,4,5
2401725,SEA CAM List - FMCG,COMPLETED,4,3,4
2368465,Competition Campaign: Bot PL,COMPLETED,4,3,4
2358357,2023 Repository - GCC - HR,COMPLETED,4,3,3
2331339,Koala (50),COMPLETED,4,3,3
2328647,Competition Campaign: OC tanner,COMPLETED,6,1,5
2305161,Roshaan CAM BSFI Content - 1,COMPLETED,4,3,3
2215576,Ignyte Dubai,COMPLETED,3,4,4
2191461,Kushal F2F - New Orleans Data ,COMPLETED,4,3,4
2174898,ReThink HR Tech,COMPLETED,4,3,4
1990578,Trading- Data- ROW,COMPLETED,3,4,4
1894336,Ignyte Campaign GCC - Marketing,COMPLETED,1,6,7
1827837,Commercial banks in Uganda,COMPLETED,5,2,5
1674245,Website Visitors Empuls - Common Room (3rd Cycle),COMPLETED,3,4,4
1651354,CHRO- Non Attendees,COMPLETED,3,4,4
1620675,Website Visitors Empuls - Common Room (2nd Cycle),COMPLETED,3,4,4
3209242,P1_ABM_Utilities/Energy_Africa_Mary_Roshaan_21Apr26,ACTIVE,4,2,4
3204016,P3_ABM_COMPASS_INDIA_EMAIL_20APR - FINAL,ACTIVE,4,2,4
2946557,Airlines - Plum API (2026) - Africa - BATCH 3,COMPLETED,4,2,4
2815039,Test 2 2026,COMPLETED,1,5,5
2626045,500 below and below $500 data - Batch 8,COMPLETED,2,4,4
2573643,5k+ below $500 data Batch 2,COMPLETED,3,3,3
2551583,ABM HS Agencies - US,COMPLETED,3,3,3
2505550,Babu - HR,COMPLETED,3,3,3
2505555,Ritu - Sales and marketing,COMPLETED,2,4,4
2428096,"Diwali Campaign leads, HR & Procurement- India -3",COMPLETED,4,2,4
2401682,SEA CAM List - Building Materials,PAUSED,5,1,5
2368499,Competition Campaign: Springworks,COMPLETED,2,4,4
2351997,Campaign data CAM - GCC  - HR,COMPLETED,3,3,4
2351869,Campaign data CAM - GCC - FMCG,COMPLETED,1,5,5
2328642,"Competition Campaign: Advantage club, Culture Amp",COMPLETED,4,2,5
2288954,Airlines - Plum API - 5,COMPLETED,2,4,4
2281817,Airlines - Plum API - 4,COMPLETED,4,2,4
2270601,Gaming and Gambling companies data- 2024 - India 1,COMPLETED,4,2,4
2265293,SAP 2.0,COMPLETED,4,2,4
2253621,HR- Engagement Isn't one -size fits-All - KSA Set 1,COMPLETED,6,0,6
